Country	Operator	Network	CC	MCC	MNC	OperatorId	Command	
Bahrain	STC Bahrain	Viva Bahrain	973	426	04	1122	Edit	
Bahrain	Unallocated prefix	Unallocated prefix	973	n/a	n/a	57	Edit	
Bahrain	Zain Bahrain	Zain Bahrain	973	426	02	56	Edit	
Bangladesh	Airtel Bangladesh	Airtel Bangladesh	880	470	07	64	Edit	
Bangladesh	CityCell	CityCell	880	470	05	58	Edit	
Bangladesh	CityCell	CityCell	880	470	06	58	Edit	
Bangladesh	GrameenPhone	GrameenPhone	880	470	01	59	Edit	
Bangladesh	Orascom Bangladesh	Banglalink	880	470	03	60	Edit	
Bangladesh	Robi Axiata	Robi	880	470	02	62	Edit	
Bangladesh	Teletalk	Teletalk	880	470	04	61	Edit	
Bangladesh	Unallocated prefix	Unallocated prefix	880	n/a	n/a	63	Edit	
Barbados	C&W Barbados	C&W Barbados	1246	342	600	65	Edit	
Barbados	Digicel Barbados	Digicel Barbados	1246	342	50	66	Edit	
Barbados	Digicel Barbados	Digicel Barbados	1246	342	750	66	Edit	
Barbados	Ozone Wireless	Ozone Wireless	1246	342	800	1628	Edit	
Barbados	Sunbeach Barbados	Sunbeach Barbados	1246	342	820	67	Edit	
Barbados	Unallocated prefix	Unallocated prefix	1246	n/a	n/a	68	Edit	
Belarus	BTN	Life Belarus	375	257	04	70	Edit	
Belarus	BelCel	DIALLOG	375	257	03	69	Edit	
Belarus	MTS Belarus	MTS Belarus	375	257	02	71	Edit	
Belarus	Unallocated prefix	Unallocated prefix	375	n/a	n/a	72	Edit	
Belarus	Velcom	Velcom	375	257	01	73	Edit	
Belgium	Base	Base	32	206	07	74	Edit	
Belgium	Base	Base	32	206	20	74	Edit	
Belgium	Base	Base	32	206	40	74	Edit	
Belgium	Belgacom Mobile	Proximus	32	206	01	75	Edit	
Belgium	Lycamobile Belgium	Lycamobile Belgium	32	206	06	1479	Edit	
